timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
2016-10-17T16:50:09.870+0000,73,HTTP Request,200,Thread Group 1-788,true,13497,5,5,72,1,0,cb15f68f197f,0
2016-10-17T16:50:09.861+0000,88,HTTP Request,200,Thread Group 1-790,true,13470,4,4,86,1,0,cb15f68f197f,0
2016-10-17T16:50:09.810+0000,144,HTTP Request,200,Thread Group 1-789,true,13525,4,4,140,1,0,cb15f68f197f,0
2016-10-17T16:50:09.899+0000,104,HTTP Request,200,Thread Group 1-774,true,13583,5,5,91,1,0,cb15f68f197f,0
2016-10-17T16:50:09.910+0000,94,HTTP Request,200,Thread Group 1-791,true,13511,4,4,89,1,0,cb15f68f197f,0
2016-10-17T16:50:09.949+0000,80,HTTP Request,200,Thread Group 1-790,true,13535,5,5,76,1,0,cb15f68f197f,0
2016-10-17T16:50:09.960+0000,87,HTTP Request,200,Thread Group 1-792,true,13472,4,4,83,1,0,cb15f68f197f,0
2016-10-17T16:50:09.955+0000,113,HTTP Request,200,Thread Group 1-789,true,13554,5,5,75,1,0,cb15f68f197f,0
2016-10-17T16:50:10.013+0000,71,HTTP Request,200,Thread Group 1-793,true,13544,4,4,66,1,0,cb15f68f197f,0
2016-10-17T16:50:10.047+0000,70,HTTP Request,200,Thread Group 1-792,true,13528,5,5,67,1,0,cb15f68f197f,0
2016-10-17T16:50:10.004+0000,113,HTTP Request,200,Thread Group 1-791,true,13516,5,5,71,1,0,cb15f68f197f,0
2016-10-17T16:50:10.067+0000,81,HTTP Request,200,Thread Group 1-794,true,13488,3,3,78,1,0,cb15f68f197f,0
2016-10-17T16:50:10.085+0000,71,HTTP Request,200,Thread Group 1-793,true,13570,3,3,69,1,0,cb15f68f197f,0
2016-10-17T16:50:10.111+0000,91,HTTP Request,200,Thread Group 1-795,true,13536,3,3,78,1,0,cb15f68f197f,0
2016-10-17T16:50:10.163+0000,79,HTTP Request,200,Thread Group 1-796,true,13494,4,4,77,1,0,cb15f68f197f,0
2016-10-17T16:50:10.148+0000,109,HTTP Request,200,Thread Group 1-794,true,13439,4,4,76,1,0,cb15f68f197f,0
2016-10-17T16:50:10.203+0000,73,HTTP Request,200,Thread Group 1-795,true,13519,4,4,70,1,0,cb15f68f197f,0
2016-10-17T16:50:10.213+0000,79,HTTP Request,200,Thread Group 1-797,true,13485,3,3,75,1,0,cb15f68f197f,0
2016-10-17T16:50:10.242+0000,80,HTTP Request,200,Thread Group 1-796,true,13529,4,4,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.263+0000,81,HTTP Request,200,Thread Group 1-798,true,13600,3,3,76,1,0,cb15f68f197f,0
2016-10-17T16:50:10.313+0000,80,HTTP Request,200,Thread Group 1-799,true,13503,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:10.292+0000,105,HTTP Request,200,Thread Group 1-797,true,13503,4,4,69,1,0,cb15f68f197f,0
2016-10-17T16:50:10.344+0000,123,HTTP Request,200,Thread Group 1-798,true,13551,5,5,80,1,0,cb15f68f197f,0
2016-10-17T16:50:10.393+0000,77,HTTP Request,200,Thread Group 1-799,true,13489,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:10.365+0000,107,HTTP Request,200,Thread Group 1-800,true,13503,3,3,101,1,0,cb15f68f197f,0
2016-10-17T16:50:10.465+0000,85,HTTP Request,200,Thread Group 1-802,true,13567,4,4,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.472+0000,116,HTTP Request,200,Thread Group 1-800,true,13559,5,5,76,1,0,cb15f68f197f,0
2016-10-17T16:50:10.517+0000,82,HTTP Request,200,Thread Group 1-803,true,13544,4,4,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.550+0000,71,HTTP Request,200,Thread Group 1-802,true,13544,5,5,69,1,0,cb15f68f197f,0
2016-10-17T16:50:10.566+0000,86,HTTP Request,200,Thread Group 1-804,true,13527,4,4,80,1,0,cb15f68f197f,0
2016-10-17T16:50:10.599+0000,79,HTTP Request,200,Thread Group 1-803,true,13513,5,5,76,1,0,cb15f68f197f,0
2016-10-17T16:50:10.652+0000,75,HTTP Request,200,Thread Group 1-804,true,13501,5,5,71,1,0,cb15f68f197f,0
2016-10-17T16:50:10.618+0000,118,HTTP Request,200,Thread Group 1-805,true,14904,4,4,113,1,0,cb15f68f197f,0
2016-10-17T16:50:10.669+0000,80,HTTP Request,200,Thread Group 1-806,true,13576,4,4,76,1,0,cb15f68f197f,0
2016-10-17T16:50:10.719+0000,82,HTTP Request,200,Thread Group 1-807,true,13535,5,5,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.749+0000,119,HTTP Request,200,Thread Group 1-806,true,13517,6,6,74,1,0,cb15f68f197f,0
2016-10-17T16:50:10.801+0000,76,HTTP Request,200,Thread Group 1-807,true,13551,6,6,74,1,0,cb15f68f197f,0
2016-10-17T16:50:10.414+0000,467,HTTP Request,200,Thread Group 1-801,true,13605,5,5,455,1,0,cb15f68f197f,0
2016-10-17T16:50:10.771+0000,111,HTTP Request,200,Thread Group 1-808,true,13544,5,5,100,1,0,cb15f68f197f,0
2016-10-17T16:50:10.819+0000,134,HTTP Request,200,Thread Group 1-809,true,13512,6,6,130,1,0,cb15f68f197f,0
2016-10-17T16:50:10.871+0000,85,HTTP Request,200,Thread Group 1-810,true,13501,6,6,82,1,0,cb15f68f197f,0
2016-10-17T16:50:10.882+0000,81,HTTP Request,200,Thread Group 1-801,true,13463,6,6,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.882+0000,89,HTTP Request,200,Thread Group 1-808,true,13535,6,6,86,1,0,cb15f68f197f,0
2016-10-17T16:50:10.921+0000,81,HTTP Request,200,Thread Group 1-811,true,13521,5,5,75,1,0,cb15f68f197f,0
2016-10-17T16:50:10.954+0000,76,HTTP Request,200,Thread Group 1-809,true,13510,6,6,72,1,0,cb15f68f197f,0
2016-10-17T16:50:10.956+0000,80,HTTP Request,200,Thread Group 1-810,true,13543,5,5,79,1,0,cb15f68f197f,0
2016-10-17T16:50:10.970+0000,82,HTTP Request,200,Thread Group 1-812,true,13660,4,4,80,1,0,cb15f68f197f,0
2016-10-17T16:50:11.002+0000,77,HTTP Request,200,Thread Group 1-811,true,13503,5,5,72,1,0,cb15f68f197f,0
2016-10-17T16:50:11.022+0000,95,HTTP Request,200,Thread Group 1-813,true,13529,4,4,87,1,0,cb15f68f197f,0
2016-10-17T16:50:10.736+0000,381,HTTP Request,200,Thread Group 1-805,true,13557,4,4,345,1,0,cb15f68f197f,0
2016-10-17T16:50:11.053+0000,79,HTTP Request,200,Thread Group 1-812,true,13487,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:11.071+0000,110,HTTP Request,200,Thread Group 1-814,true,13574,4,4,104,1,0,cb15f68f197f,0
2016-10-17T16:50:11.117+0000,78,HTTP Request,200,Thread Group 1-813,true,13510,4,4,74,1,0,cb15f68f197f,0
2016-10-17T16:50:11.123+0000,79,HTTP Request,200,Thread Group 1-815,true,13538,3,3,75,1,0,cb15f68f197f,0
2016-10-17T16:50:11.174+0000,83,HTTP Request,200,Thread Group 1-816,true,13448,4,4,81,1,0,cb15f68f197f,0
2016-10-17T16:50:11.181+0000,85,HTTP Request,200,Thread Group 1-814,true,13527,4,4,81,1,0,cb15f68f197f,0
2016-10-17T16:50:11.202+0000,79,HTTP Request,200,Thread Group 1-815,true,13542,4,4,75,1,0,cb15f68f197f,0
2016-10-17T16:50:11.223+0000,83,HTTP Request,200,Thread Group 1-817,true,13586,3,3,79,1,0,cb15f68f197f,0
2016-10-17T16:50:11.258+0000,86,HTTP Request,200,Thread Group 1-816,true,13617,4,4,86,1,0,cb15f68f197f,0
2016-10-17T16:50:11.273+0000,99,HTTP Request,200,Thread Group 1-818,true,13496,3,3,88,1,0,cb15f68f197f,0
2016-10-17T16:50:11.372+0000,84,HTTP Request,200,Thread Group 1-818,true,13570,5,5,84,1,0,cb15f68f197f,0
2016-10-17T16:50:11.324+0000,137,HTTP Request,200,Thread Group 1-819,true,13552,4,4,136,1,0,cb15f68f197f,0
2016-10-17T16:50:11.306+0000,157,HTTP Request,200,Thread Group 1-817,true,13559,4,4,157,1,0,cb15f68f197f,0
2016-10-17T16:50:11.374+0000,89,HTTP Request,200,Thread Group 1-820,true,13626,4,4,88,1,0,cb15f68f197f,0
2016-10-17T16:50:11.461+0000,75,HTTP Request,200,Thread Group 1-819,true,13545,5,5,74,1,0,cb15f68f197f,0
